tic,gvkey,cusip,conm,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,busdesc
CPB,2663,134429109,CAMPBELL SOUP CO,3020.0,302020.0,30.0,30202030.0,311422.0,2030.0,250.0,978.0,"Campbell Soup Company, together with its subsidiaries, engages in the manufacture and market food and beverage products. It operates through Meals & Beverages and Snacks segments. The Meals & Beverages segment engages in the retail and foodservice businesses in the United States and Canada."
CPGX,23827,198280109,COLUMBIA PIPELINE GROUP INC,1010.0,101020.0,10.0,10102040.0,486210.0,4922.0,,,"Columbia Pipeline Group, Inc., together with its subsidiaries, owns, operates, and develops a portfolio of pipelines, storage, and related midstream assets."
CPRI,198058,G1890L107,CAPRI HOLDINGS LTD,2520.0,252030.0,25.0,25203010.0,315.0,2300.0,,,"Capri Holdings Limited designs, markets, distributes, and retails branded women's and men's apparel, footwear, and accessories in the United States, Canada, Latin America, Europe, the Middle East, Africa, and Asia."
CPRT,29901,217204106,COPART INC,2020.0,202010.0,20.0,20201070.0,425120.0,5010.0,175.0,976.0,"Copart, Inc. provides online auctions and vehicle remarketing services in the United States, Canada, the United Kingdom, Brazil, the Republic of Ireland, Germany, Finland, the United Arab Emirates, Oman, Bahrain, and Spain."
CRM,157855,79466L302,SALESFORCE.COM INC,4510.0,451030.0,45.0,45103010.0,511210.0,7372.0,,,"salesforce.com, inc. develops enterprise cloud computing solutions with a focus on customer relationship management worldwide."
CSCO,20779,17275R102,CISCO SYSTEMS INC,4520.0,452010.0,45.0,45201020.0,334210.0,3576.0,187.0,940.0,"Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and China."
CSRA,26304,12650T104,CSRA INC,4510.0,451020.0,45.0,45102010.0,54151.0,7370.0,,,"CSRA Inc. delivers a range of information technology solutions and professional services to its U.S. government customers to modernize legacy systems, protect networks and assets, and enhance the mission-critical functions for war fighters and citizens."
CSX,2574,126408103,CSX CORP,2030.0,203040.0,20.0,20304010.0,482111.0,4011.0,610.0,600.0,"CSX Corporation, together with its subsidiaries, provides rail-based freight transportation services."
CTAS,3062,172908105,CINTAS CORP,2020.0,202010.0,20.0,20201070.0,812331.0,7200.0,175.0,976.0,"Cintas Corporation provides corporate identity uniforms and related business services primarily in North America, Latin America, Europe, and Asia. It operates through Uniform Rental and Facility Services and First Aid and Safety Services segments."
CTLT,20228,148806102,CATALENT INC,3520.0,352020.0,35.0,35202010.0,325412.0,2834.0,,,"Catalent, Inc., together with its subsidiaries, provides delivery technologies and development solutions for drugs, biologics, and consumer and animal health products worldwide."
CTSH,111864,192446102,COGNIZANT TECH SOLUTIONS,4510.0,451020.0,45.0,45102010.0,541512.0,7370.0,185.0,940.0,"Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and outsourcing services in North America, Europe, and internationally."
CTVA,35168,22052L104,CORTEVA INC,1510.0,151010.0,15.0,15101030.0,111.0,100.0,,,"Corteva, Inc. operates in the agriculture business. It operates through two segments, Seed and Crop Protection. The Seed segment develops and supplies advanced germplasm and traits that produce optimum yield for farms."
CTX,171015,74913G402,QWEST CORP 7.00 NOTES 2052,,,,,,,,,
CTXS,61676,177376100,CITRIX SYSTEMS INC,4510.0,451030.0,45.0,45103010.0,511210.0,7372.0,185.0,940.0,"Citrix Systems, Inc. provides workspace, networking, and professional services worldwide."
CVC,12485,12686C109,ALTICE USA INC,5020.0,502010.0,50.0,50201030.0,515210.0,4841.0,150.0,978.0,"Altice USA, Inc., together with its subsidiaries, provides broadband communications and video services in the United States, Canada, Puerto Rico, and the Virgin Islands. It offers broadband, video, and telephony services to approximately 4.9 million residential and business customers."
CVG,113419,212485106,CONVERGYS CORP,4510.0,451020.0,45.0,45102020.0,561499.0,7389.0,175.0,976.0,"Convergys Corporation provides customer management services to communications and media, technology, financial services, retail, healthcare, government, travel and hospitality, and other vertical markets worldwide."
CVH,23877,222862104,COVENTRY HEALTH CARE INC,3510.0,351020.0,35.0,35102030.0,524114.0,6324.0,287.0,905.0,"As of January 1, 2014, Coventry Health Care, Inc. was acquired by Aetna Inc. Coventry Health Care, Inc. operates as a managed healthcare company in the United States."
CVS,7241,126650100,CVS HEALTH CORP,3510.0,351020.0,35.0,35102015.0,446110.0,5912.0,435.0,978.0,CVS Health Corporation provides health services and plans in the United States.
CVX,2991,166764100,CHEVRON CORP,1010.0,101020.0,10.0,10102010.0,324110.0,2911.0,390.0,935.0,"Chevron Corporation, through its subsidiaries, engages in integrated energy, chemicals, and petroleum operations worldwide. The company operates in two segments, Upstream and Downstream."
CXO,177884,20605P101,CONCHO RESOURCES INC,1010.0,101020.0,10.0,10102020.0,2111.0,1311.0,,,"Concho Resources Inc., an independent oil and natural gas company, engages in the acquisition, development, and exploration of oil and natural gas properties in the United States. The company's principal operating areas are located in the Permian Basin of West Texas and southeast New Mexico."
D,4029,25746U109,DOMINION ENERGY INC,5510.0,551030.0,55.0,55103010.0,22111.0,4911.0,705.0,700.0,"Dominion Energy, Inc. produces and transports energy. The company's Dominion Energy Virginia segment engages in the regulated electric generation, transmission, and distribution operations that serve residential, commercial, industrial, and governmental customers in Virginia and North Carolina."
DAL,3851,247361702.0,DELTA AIR LINES INC,2030.0,203020.0,20.0,20302010.0,481111.0,4512.0,605.0,600.0,"Delta Air Lines, Inc. provides scheduled air transportation for passengers and cargo in the United States and internationally. The company operates through two segments, Airline and Refinery. Its domestic network centered on core hubs in Atlanta, Minneapolis-St."
DD,4060,26614N102,DUPONT DE NEMOURS INC,1510.0,151010.0,15.0,15101050.0,325199.0,2860.0,160.0,970.0,"DuPont de Nemours, Inc. provides technology-based materials, ingredients, and solutions in the United States, Canada, the Asia Pacific, Latin America, Europe, the Middle East, and Africa."
DDS,3964,254067101.0,DILLARDS INC  -CL A,2550.0,255030.0,25.0,25503010.0,452210.0,5311.0,430.0,976.0,"Dillard's, Inc. operates retail department stores primarily in the Southeastern, Southwestern, and Midwestern areas of the United States."
DE,3835,244199105.0,DEERE & CO,2010.0,201060.0,20.0,20106015.0,333111.0,3523.0,345.0,925.0,"Deere & Company, together with its subsidiaries, manufactures and distributes various equipment worldwide. The company operates through three segments: Agriculture and Turf, Construction and Forestry, and Financial Services."
DELL,14489,24703L202,DELL TECHNOLOGIES INC,4520.0,452020.0,45.0,45202030.0,334111.0,3571.0,190.0,940.0,"Dell Technologies Inc. designs, develops, manufactures, markets, sells, and support IT hardware, software, and services solutions worldwide. It operates through three segments: Infrastructure Solutions Group (ISG), Client Solutions Group (CSG), and VMware."
DFS,177376,254709108,DISCOVER FINANCIAL SVCS,4020.0,402020.0,40.0,40202010.0,522210.0,6141.0,,,"Discover Financial Services, through its subsidiaries, operates as a direct banking and payment services company in the United States. It operates in two segments, Direct Banking and Payment Services."
DG,4016,256677105,DOLLAR GENERAL CORP,2550.0,255030.0,25.0,25503020.0,452319.0,5331.0,432.0,976.0,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States."
DGX,64166,74834L100,QUEST DIAGNOSTICS INC,3510.0,351020.0,35.0,35102015.0,621511.0,8071.0,292.0,905.0,"Quest Diagnostics Incorporated provides diagnostic testing, information, and services in the United States and internationally."
DHI,25340,23331A109,D R HORTON INC,2520.0,252010.0,25.0,25201030.0,236117.0,1531.0,305.0,976.0,"D.R. Horton, Inc. operates as a homebuilding company in East, Midwest, Southeast, South Central, Southwest, and West regions in the United States. It engages in the acquisition and development of land; and construction and sale of homes in 29 states and 88 markets under the names of D.R."
DHR,3735,235851102,DANAHER CORP,3510.0,351010.0,35.0,35101010.0,334516.0,3826.0,355.0,925.0,"Danaher Corporation designs, manufactures, and markets professional, medical, industrial, and commercial products and services worldwide. The company operates through three segments; Life Sciences, Diagnostics, and Environmental & Applied Solutions."
DIS,3980,254687106.0,DISNEY (WALT) CO,5020.0,502020.0,50.0,50202010.0,515120.0,4888.0,245.0,978.0,"The Walt Disney Company, together with its subsidiaries, operates as an entertainment company worldwide."
DISCA,164296,25470F104,DISCOVERY INC,5020.0,502010.0,50.0,50201020.0,515210.0,4841.0,,,"Discovery, Inc. operates as a media company in the United States and internationally. The company operates in two segments, U.S. Networks and International Networks."
DISCK,164296,25470F302,DISCOVERY INC,5020.0,502010.0,50.0,50201020.0,515210.0,4841.0,,,"Discovery, Inc. operates as a media company in the United States and internationally. The company operates in two segments, U.S. Networks and International Networks."
DISH,60900,25470M109,DISH NETWORK CORP,5020.0,502010.0,50.0,50201030.0,515210.0,4841.0,150.0,978.0,"DISH Network Corporation, together with its subsidiaries, provides pay-TV services in the United States. The company operates in two segments, Pay-TV and Wireless."
DJ,4062,260561105,DOW JONES & CO INC,2540.0,254010.0,25.0,25401040.0,511110.0,2711.0,415.0,976.0,"Dow Jones & Company, Inc. offers business and financial news and information globally to consumers and organizations worldwide. It provides solutions through newspapers, newswires, Websites, applications, newsletters, magazines, databases, and conferences."
DLPH,31802,G2709G107,DELPHI TECHNOLOGIES PLC,2510.0,251010.0,25.0,25101010.0,336310.0,3714.0,,,"Delphi Technologies PLC engages in the design, development, and manufacture of integrated powertrain technologies worldwide. The company operates through four segments: Fuel Injection Systems, Powertrain Products, Electrification & Electronics, and Aftermarket."
DLR,160991,253868103,DIGITAL REALTY TRUST INC,6010.0,601010.0,60.0,60101080.0,531120.0,6798.0,,,"Digital Realty supports the world's leading enterprises and service providers by delivering the full spectrum of data center, colocation and interconnection solutions."
DLTR,31587,256746108,DOLLAR TREE INC,2550.0,255030.0,25.0,25503020.0,452319.0,5331.0,432.0,976.0,"Dollar Tree, Inc. operates discount variety retail stores. It operates through two segments, Dollar Tree and Family Dollar. The Dollar Tree segment offers merchandise at the fixed price of $1.00."
DNB,4094,26484T106,DUN & BRADSTREET HOLDNGS INC,2020.0,202020.0,20.0,20202020.0,561450.0,7323.0,175.0,976.0,"Dun & Bradstreet Holdings, Inc. provides business decisioning data and analytics in North America and internationally."
DOV,4058,260003108,DOVER CORP,2010.0,201060.0,20.0,20106020.0,333415.0,3585.0,247.0,940.0,"Dover Corporation provides equipment and components, consumable supplies, aftermarket parts, software and digital solutions, and support services worldwide."
DOW,34443,260557103,DOW INC,1510.0,151010.0,15.0,15101010.0,325211.0,2821.0,,,"Dow Inc. provides various materials science solutions for consumer care, infrastructure, and packaging markets in the United States, Canada, Europe, the Middle East, Africa, India, the Asia Pacific, and Latin America."
DPS,179700,26138E109,DR PEPPER SNAPPLE GROUP INC,3020.0,302010.0,30.0,30201030.0,312111.0,2086.0,,,"As of 2018, Dr Pepper Snapple Group, Inc is acquired by Keurig Dr Pepper Inc. Dr Pepper Snapple Group, Inc. manufactures and distributes non-alcoholic beverages in the United States, Mexico and the Caribbean, and Canada."
DPZ,160211,25754A201,DOMINO'S PIZZA INC,2530.0,253010.0,25.0,25301040.0,722511.0,5812.0,,,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza delivery company in the United States and internationally. It operates through three segments: U.S. Stores, International Franchise, and Supply Chain."
DRE,13510,264411505,DUKE REALTY CORP,6010.0,601010.0,60.0,60101020.0,531120.0,6798.0,850.0,800.0,Duke Realty Corporation owns and operates approximately 156 million rentable square feet of industrial assets in 20 major logistics markets. Duke Realty Corporation is publicly traded on the NYSE under the symbol DRE and is a member of the S&P 500 Index.
DRI,31846,237194105,DARDEN RESTAURANTS INC,2530.0,253010.0,25.0,25301040.0,722511.0,5812.0,420.0,978.0,"Darden Restaurants, Inc., through its subsidiaries, owns and operates full-service restaurants in the United States and Canada."
DTE,3897,233331107.0,DTE ENERGY CO,5510.0,551030.0,55.0,55103010.0,2211.0,4931.0,705.0,700.0,"DTE Energy Company engages in the utility operations. The company's Electric segment generates, purchases, distributes, and sells electricity to approximately 2.2 million residential, commercial, and industrial customers in southeastern Michigan."
DTV,3897,233331883.0,DTE ENERGY CO,5510.0,551030.0,55.0,55103010.0,2211.0,4931.0,705.0,700.0,"DTE Energy Company engages in the utility operations. The company's Electric segment generates, purchases, distributes, and sells electricity to approximately 2.2 million residential, commercial, and industrial customers in southeastern Michigan."
DUK,4093,26441C204,DUKE ENERGY CORP,5510.0,551010.0,55.0,55101010.0,2211.0,4931.0,705.0,700.0,"Duke Energy Corporation, together with its subsidiaries, operates as an energy company in the United States. It operates through three segments: Electric Utilities and Infrastructure, Gas Utilities and Infrastructure, and Commercial Renewables."
DVA,61483,23918K108,DAVITA INC,3510.0,351020.0,35.0,35102015.0,621492.0,8090.0,292.0,905.0,DaVita Inc. provides kidney dialysis services for patients suffering from chronic kidney failure or end stage renal disease (ESRD). The company operates kidney dialysis centers and provides related lab services in outpatient dialysis centers.
DVN,14934,25179M103,DEVON ENERGY CORP,1010.0,101020.0,10.0,10102020.0,2111.0,1311.0,380.0,935.0,"Devon Energy Corporation, an independent energy company, primarily engages in the exploration, development, and production of oil, natural gas, and natural gas liquids in the United States. It operates approximately 3,955 gross wells."
DXC,3336,23355L106,DXC TECHNOLOGY CO,4510.0,451020.0,45.0,45102010.0,541512.0,7370.0,454.0,940.0,"DXC Technology Company, together with its subsidiaries, provides information technology services and solutions primarily in North America, Europe, Asia, and Australia. It operates in two segments, Global Business Services (GBS) and Global Infrastructure Services (GIS)."
DXCM,162887,252131107,DEXCOM INC,3510.0,351010.0,35.0,35101010.0,334510.0,3845.0,,,"DexCom, Inc., a medical device company, focuses on the design, development, and commercialization of continuous glucose monitoring (CGM) systems in the United States and internationally. The company offers its systems for use by people with diabetes, as well as for use by healthcare providers."
DYN,36911,26818M108,DYNE THERAPEUTICS INC,3520.0,352010.0,35.0,35201010.0,325414.0,,,,"Dyne Therapeutics, Inc., a muscle disease company, operates as a biotechnology company that focuses on advancing therapeutics for genetically driven muscle diseases in the United States."
EA,16721,285512109,ELECTRONIC ARTS INC,5020.0,502020.0,50.0,50202020.0,511210.0,7372.0,185.0,940.0,"Electronic Arts Inc. develops, markets, publishes, and distributes games, content, and services for game consoles, PCs, mobile phones, and tablets worldwide."
EBAY,114524,278642103,EBAY INC,2550.0,255020.0,25.0,25502020.0,518210.0,7370.0,185.0,940.0,eBay Inc. operates the marketplace and classifieds platforms that connect buyers and sellers worldwide.
ECL,4213,278865100,ECOLAB INC,1510.0,151010.0,15.0,15101050.0,325612.0,2842.0,167.0,970.0,"Ecolab Inc. provides water, hygiene, and energy technologies and services worldwide."
ED,3413,209115104,CONSOLIDATED EDISON INC,5510.0,551030.0,55.0,55103010.0,22111.0,4931.0,705.0,700.0,"Consolidated Edison, Inc., through its subsidiaries, engages in regulated electric, gas, and steam delivery businesses in the United States."
EFX,4423,294429105,EQUIFAX INC,2020.0,202020.0,20.0,20202020.0,561450.0,7323.0,453.0,940.0,"Equifax Inc. provides information solutions and human resources business process outsourcing services for businesses, governments, and consumers. The company operates through four segments: U.S. Information Solutions (USIS), Workforce Solutions, International, and Global Consumer Solutions."
EIX,9846,281020107,EDISON INTERNATIONAL,5510.0,551010.0,55.0,55101010.0,22111.0,4911.0,705.0,700.0,"Edison International, through its subsidiaries, engages in the generation, transmission, and distribution of electricity in the United States. The company generates electricity through hydroelectric, diesel/liquid petroleum gas, natural gas, nuclear, and photovoltaic sources."
EL,61567,518439104,LAUDER (ESTEE) COS INC -CL A,3030.0,303020.0,30.0,30302010.0,325620.0,2844.0,215.0,978.0,"The Estee Lauder Companies Inc. manufactures and markets skin care, makeup, fragrance, and hair care products worldwide."
EMC,12053,268648102,EMC CORP/MA,4520.0,452020.0,45.0,45202030.0,334112.0,3572.0,188.0,940.0,"Dell EMC develops, delivers, and supports information infrastructure and virtual infrastructure technologies, solutions, and services."
EMN,29392,277432100,EASTMAN CHEMICAL CO,1510.0,151010.0,15.0,15101020.0,325211.0,2821.0,160.0,970.0,Eastman Chemical Company operates as an advanced materials and specialty additives company worldwide.
EMR,4321,291011104,EMERSON ELECTRIC CO,2010.0,201040.0,20.0,20104010.0,334513.0,3823.0,220.0,925.0,"Emerson Electric Co. designs and manufactures technology and engineering products for industrial, commercial, and consumer markets worldwide. It operates through Automation Solutions and Commercial & Residential Solutions segments."
ENDP,63645,G30401106,ENDO INTERNATIONAL PLC,3520.0,352020.0,35.0,35202010.0,325412.0,2834.0,285.0,905.0,Endo International plc manufactures and sells generic and branded pharmaceuticals in the United States and internationally.
EOG,16478,26875P101,EOG RESOURCES INC,1010.0,101020.0,10.0,10102020.0,2111.0,1311.0,380.0,935.0,"EOG Resources, Inc., together with its subsidiaries, explores for, develops, produces, and markets crude oil, and natural gas and natural gas liquids."
EP,4242,28336L109,EL PASO CORP,1010.0,101020.0,10.0,10102040.0,486210.0,4922.0,710.0,700.0,"El Paso LLC offers natural gas transmission, and exploration and production services primarily in the United States."
EQ,34164,29446K106,EQUILLIUM INC,3520.0,352010.0,35.0,35201010.0,325414.0,2836.0,,,"Equillium, Inc., a clinical-stage biotechnology company, develops products for autoimmune and inflammatory, or immuno-inflammatory disorders with unmet medical need."
EQIX,138743,29444U700,EQUINIX INC,6010.0,601010.0,60.0,60101080.0,531120.0,6798.0,463.0,974.0,"Equinix (Nasdaq: EQIX) is the world's digital infrastructure company, enabling digital leaders to harness a trusted platform to bring together and interconnect the foundational infrastructure that powers their success."
EQR,28733,29476L107,EQUITY RESIDENTIAL,6010.0,601010.0,60.0,60101060.0,531110.0,6798.0,850.0,800.0,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract high quality long-term renters."
EQT,4430,26884L109,EQT CORP,1010.0,101020.0,10.0,10102020.0,2111.0,4923.0,710.0,700.0,"EQT Corporation operates as a natural gas production company in the United States. The company produces natural gas, natural gas liquids (NGLs), and crude oil."
ES,7970,30040W108,EVERSOURCE ENERGY,5510.0,551010.0,55.0,55101010.0,2211.0,4931.0,705.0,700.0,"Eversource Energy, a public utility holding company, engages in the energy delivery business. The company operates in four segments: Electric Distribution, Electric Transmission, Natural Gas Distribution, and Water Distribution."
ESRX,25356,30219G108,EXPRESS SCRIPTS HOLDING CO,3510.0,351020.0,35.0,35102015.0,446110.0,5912.0,287.0,905.0,Express Scripts Holding Company operates as a pharmacy benefit management (PBM) company in the United States and Canada.
ESS,30293,297178105,ESSEX PROPERTY TRUST,6010.0,601010.0,60.0,60101060.0,531110.0,6798.0,850.0,800.0,"Essex Property Trust, Inc., an S&P 500 company, is a fully integrated real estate investment trust (REIT) that acquires, develops, redevelops, and manages multifamily residential properties in selected West Coast markets."
ETFC,63501,269246401,E TRADE FINANCIAL CORP,4020.0,402030.0,40.0,40203020.0,523120.0,6211.0,822.0,800.0,"E*TRADE Financial Corporation, a financial services company, provides brokerage, and related products and services for traders, investors, registered investment advisors (RIAs), and stock plan administrators and participants."
ETN,4199,G29183103,EATON CORP PLC,2010.0,201040.0,20.0,20104010.0,335314.0,3620.0,355.0,925.0,Eaton Corporation plc operates as a power management company worldwide.
ETR,7366,29364G103,ENTERGY CORP,5510.0,551010.0,55.0,55101010.0,22111.0,4911.0,705.0,700.0,"Entergy Corporation, together with its subsidiaries, engages in the production and distribution of electricity in the United States. The company generates electricity through gas/oil, nuclear, coal, hydro, and solar power sources."
ETSY,23238,29786A106,ETSY INC,2550.0,255020.0,25.0,25502020.0,519130.0,7370.0,,,"Etsy, Inc. operates online market places for buyers and sellers primarily in the United States, the United Kingdom, Canada, Australia, France, and Germany. Its online market places include Etsy.com and Reverb.com."
EVHC,65967,29414D100,ENVISION HEALTHCARE CORP,3510.0,351020.0,35.0,35102015.0,621493.0,8011.0,287.0,905.0,"Envision Healthcare Corporation, through its subsidiaries, provides various healthcare services in the United States. The company operates through two segments, Physician Services and Ambulatory Services."
EVRG,6338,30034W106,EVERGY INC,5510.0,551010.0,55.0,55101010.0,22111.0,4931.0,705.0,700.0,"Evergy, Inc., through its subsidiaries, engages in the generation, transmission, distribution, and sale of electricity in Kansas and Missouri."
EW,133366,28176E108,EDWARDS LIFESCIENCES CORP,3510.0,351010.0,35.0,35101010.0,339113.0,3842.0,300.0,905.0,"Edwards Lifesciences Corporation provides products and technologies for structural heart disease, and critical care and surgical monitoring in the United States and internationally."
EXC,8539,30161N101,EXELON CORP,5510.0,551010.0,55.0,55101010.0,22111.0,4911.0,705.0,700.0,"Exelon Corporation, a utility services holding company, engages in the generation and marketing of energy in the United States and Canada. It owns nuclear, fossil, wind, hydroelectric, biomass, and solar generating facilities."
EXPD,4494,302130109,EXPEDITORS INTL WASH INC,2030.0,203010.0,20.0,20301010.0,488510.0,4731.0,620.0,600.0,"Expeditors International of Washington, Inc. provides logistics services in the Americas, North Asia, South Asia, Europe, the Middle East, Africa, and India."
EXPE,126296,30212P303,EXPEDIA GROUP INC,2550.0,255020.0,25.0,25502020.0,561510.0,4700.0,620.0,600.0,"Expedia Group, Inc. operates as an online travel company worldwide. It operates through four segments: Core Online Travel Agencies, Trivago, Vrbo, and Egencia."
EXR,160479,30225T102,EXTRA SPACE STORAGE INC,6010.0,601010.0,60.0,60101080.0,531130.0,6798.0,,,"Extra Space Storage Inc., headquartered in Salt Lake City, Utah, is a self-administered and self-managed REIT and a member of the S&P 500. As of September 30, 2020, the Company owned and/or operated 1,906 self-storage stores in 40 states, Washington, D.C. and Puerto Rico."
F,4839,345370860,FORD MOTOR CO,2510.0,251020.0,25.0,25102010.0,33611.0,3711.0,120.0,976.0,"Ford Motor Company designs, manufactures, markets, and services a range of Ford cars, trucks, sport utility vehicles, electrified vehicles, and Lincoln luxury vehicles worldwide. It operates through three segments: Automotive, Mobility, and Ford Credit."
FANG,170750,25278X109,DIAMONDBACK ENERGY INC,1010.0,101020.0,10.0,10102020.0,2111.0,1311.0,,,"Diamondback Energy, Inc., an independent oil and natural gas company, focuses on the acquisition, development, exploration, and exploitation of unconventional and onshore oil and natural gas reserves in the Permian Basin in West Texas."
FAST,14225,311900104,FASTENAL CO,2010.0,201070.0,20.0,20107010.0,423.0,5000.0,450.0,976.0,"Fastenal Company, together with its subsidiaries, engages in the wholesale distribution of industrial and construction supplies in the United States, Canada, Mexico, North America, and internationally."
FB,170617,30303M102,FACEBOOK INC,5020.0,502030.0,50.0,50203010.0,519130.0,7370.0,,,"Facebook, Inc. develops products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, and in-home devices worldwide."
FBHS,188255,34964C106,FORTUNE BRANDS HOME & SECUR,2010.0,201020.0,20.0,20102010.0,337110.0,2430.0,,,"Fortune Brands Home & Security, Inc., together with its subsidiaries, provides home and security products for residential home repair, remodeling, new construction, and security applications. It operates in three segments: Cabinets, Plumbing, and Doors & Security."
FCX,14590,35671D857,FREEPORT-MCMORAN INC,1510.0,151040.0,15.0,15104025.0,212230.0,1000.0,360.0,970.0,"Freeport-McMoRan Inc. engages in the mining of mineral properties in North America, South America, and Indonesia. The company primarily explores for copper, gold, molybdenum, silver, and other metals, as well as oil and gas."
FDC,25157,32008D106,FIRST DATA CORP,4510.0,451020.0,45.0,45102020.0,518210.0,7374.0,453.0,940.0,"First Data Corporation provides commerce enabled technology and solutions for merchants, financial institutions, and card issuers in the United States, Canada, Europe, the Middle East, Africa, Latin America, and the Asia Pacific."
FDO,4560,307000109,FAMILY DOLLAR STORES,2550.0,255030.0,25.0,25503020.0,452990.0,5331.0,432.0,976.0,"Family Dollar Stores, Inc. operates a chain of general merchandise retail discount stores primarily for low- and middle-income consumers in the United States."
FDX,4598,31428X106,FEDEX CORP,2030.0,203010.0,20.0,20301010.0,492110.0,4513.0,620.0,600.0,"FedEx Corporation provides transportation, e-commerce, and business services worldwide. Its FedEx Express segment offers shipping services for delivery of packages and freight."
FE,8099,337932107,FIRSTENERGY CORP,5510.0,551010.0,55.0,55101010.0,22111.0,4911.0,705.0,700.0,"FirstEnergy Corp., through its subsidiaries, generates, transmits, and distributes electricity in the United States. The company operates through Regulated Distribution and Regulated Transmission segments."
FFIV,121077,315616102,F5 NETWORKS INC,4520.0,452010.0,45.0,45201020.0,541512.0,7373.0,454.0,940.0,"F5 Networks, Inc. provides multi-cloud application services for the security, performance, and availability of network applications, servers, and storage systems."
FHN,4737,320517105,FIRST HORIZON CORP,4010.0,401010.0,40.0,40101015.0,522110.0,6020.0,817.0,800.0,"First Horizon Corporation operates as the bank holding company for First Horizon Bank that provides various financial services. The company operates through four segments: Regional Banking, Fixed Income, Corporate, and Non-Strategic."
FIS,165993,31620M106,FIDELITY NATIONAL INFO SVCS,4510.0,451020.0,45.0,45102020.0,518210.0,7374.0,,,"Fidelity National Information Services, Inc. operates as a financial services technology company in the United States and internationally. It operates through three segments: Merchant Solutions, Banking Solutions, and Capital Market Solutions."
FISV,12635,337738108,FISERV INC,4510.0,451020.0,45.0,45102020.0,518210.0,7374.0,453.0,940.0,"Fiserv, Inc., together with its subsidiaries, provides financial services technology worldwide."
FITB,4640,316773100,FIFTH THIRD BANCORP,4010.0,401010.0,40.0,40101015.0,522110.0,6020.0,815.0,800.0,Fifth Third Bancorp operates as a diversified financial services company in the United States.
FL,11584,344849104,FOOT LOCKER INC,2550.0,255040.0,25.0,25504010.0,448210.0,5661.0,449.0,976.0,"Foot Locker, Inc., through its subsidiaries, operates as an athletic footwear and apparel retailer."
FLIR,28477,302445101,FLIR SYSTEMS INC,4520.0,452030.0,45.0,45203010.0,334511.0,3812.0,220.0,925.0,"FLIR Systems, Inc. designs, develops, markets, and distributes thermal imaging systems, visible-light imaging systems, locater systems, measurement and diagnostic systems, and threat-detection solutions worldwide."
FLR,4818,343412102,FLUOR CORP,2010.0,201030.0,20.0,20103010.0,237990.0,1600.0,240.0,925.0,"Fluor Corporation, through its subsidiaries, provides engineering, procurement, construction, fabrication and modularization, operation, maintenance and asset integrity, and project management services worldwide."
FLS,4108,34354P105,FLOWSERVE CORP,2010.0,201060.0,20.0,20106020.0,333914.0,3561.0,357.0,925.0,"Flowserve Corporation designs, develops, manufactures, distributes, and services industrial flow management equipment in the United States, Europe, the Middle East, Africa, Asia, and internationally."
FLT,184700,339041105,FLEETCOR TECHNOLOGIES INC,4510.0,451020.0,45.0,45102020.0,518210.0,7374.0,,,"FLEETCOR Technologies, Inc. operates as a business payments company that simplifies the way businesses manage and pay expenses. The company's portfolio of brands help companies automate, secure, digitize, and control payments on behalf of employees and suppliers."
FMC,4510,302491303,FMC CORP,1510.0,151010.0,15.0,15101030.0,325320.0,2870.0,165.0,970.0,"FMC Corporation, an agricultural sciences company, provides crop protection, plant health, and professional pest and turf management products."
FOSL,28118,34988V106,FOSSIL GROUP INC,2520.0,252030.0,25.0,25203010.0,334519.0,3873.0,203.0,976.0,"Fossil Group, Inc., together with its subsidiaries, designs, develops, markets, and distributes consumer fashion accessories in the United States, Europe, Asia, and internationally."
FOX,34636,35137L204,FOX CORP,5020.0,502010.0,50.0,50201020.0,515120.0,4833.0,,,"Fox Corporation operates as a news, sports, and entertainment company in the United States. The company operates through Cable Network Programming; Television; and Other, Corporate and Eliminations segments."
FOXA,34636,35137L105,FOX CORP,5020.0,502010.0,50.0,50201020.0,515120.0,4833.0,,,"Fox Corporation operates as a news, sports, and entertainment company in the United States. The company operates through Cable Network Programming; Television; and Other, Corporate and Eliminations segments."
FPL,20066,33739M100,FIRST TR NEW OPP MLP &ENERGY,,,,,525990.0,6726.0,,,First Trust New Opportunities MLP & Energy Fund is a closed-ended balanced mutual fund launched and managed by First Trust Advisors L.P. It is co-managed by Energy Income Partners LLC. The fund invests in the public equity and fixed income markets of the United States.
FRC,14275,33616C100,FIRST REPUBLIC BANK,4010.0,401010.0,40.0,40101015.0,522110.0,6020.0,840.0,800.0,"First Republic Bank, together with its subsidiaries, provides private banking, private business banking, real estate lending, and wealth management services to clients in metropolitan areas in the United States. It operates through two segments, Commercial Banking and Wealth Management."
